date,open,close,high,low,volume,mv10,mv20,vol10,vol20,rsi5,rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction,ret,ret_cur,ret_lag1,ret_lag2
2015-12-25,3832.08,3838.2,3848.02,3813.2,119624013,3789.163,3718.815,75.2123666,97.56922128,71.3064565,65.62298994,1.043937738,-0.196640896,2.953225692,2.173367011,3528.617573,3718.815,3909.012427,0.81384494,-2,-0.028807774,0.00229801,-0.009564502,-0.002669776
2015-12-28,3847.53,3727.63,3853.39,3727.63,153988440,3790.794,3726.876,73.49397303,90.73562861,11.02220219,59.9075635,1.327016387,0.111522604,2.622219176,2.502076025,3549.999698,3726.876,3903.752302,0.502131433,1,0.009185461,-0.028807774,0.00229801,-0.009564502
2015-12-29,3723.05,3761.87,3762.05,3710.48,101885555,3797.542,3735.3845,66.41601895,85.20262823,21.41932915,61.46381429,1.662633969,0.410435202,2.3653656,2.605331737,3569.294001,3735.3845,3901.474999,0.579732134,1,0.000879882,0.009185461,-0.028807774,0.00229801
2015-12-30,3762.91,3765.18,3765.66,3726.28,105629955,3805.516,3737.5455,55.32166749,85.39210659,23.90407427,63.16472114,1.77141101,0.671490799,1.920937914,2.523331626,3571.08564,3737.5455,3904.00536,0.583006498,-1,-0.009077919,0.000879882,0.009185461,-0.028807774
2015-12-31,3760.9,3731,3772.62,3727.32,101873556,3803.027,3736.6305,58.28314528,85.35756258,24.25431711,60.9991769,1.906734079,0.932941605,1.388747353,2.250099147,3570.237978,3736.6305,3903.023022,0.48308067,-2,-0.069844546,-0.009077919,0.000879882,0.009185461
2016-1-4,3725.86,3470.41,3726.24,3469.01,115370674,3773.277,3726.2715,120.7028331,103.535845,8.478403215,33.18113908,1.728947387,1.159234092,0.152544287,1.689962866,3524.442982,3726.2715,3928.100018,-0.133858641,1,0.002411819,-0.069844546,-0.009077919,0.000879882
2016-1-5,3382.18,3478.78,3518.22,3377.28,162116984,3734.558,3715.83,146.9192697,117.2605253,13.47852887,34.76534347,1.188155711,1.288672608,-0.9140046,0.982718111,3487.247155,3715.83,3944.412845,-0.018520976,2,0.017543507,0.002411819,-0.069844546,-0.009077919
2016-1-6,3482.41,3539.81,3543.74,3468.47,145966144,3700.866,3711.6695,149.3057429,122.1030053,19.78611081,40.41542167,0.702822893,1.332050331,-1.951399498,0.119365091,3473.646924,3711.6695,3949.692076,0.138984876,-2,-0.06933423,0.017543507,0.002411819,-0.069844546
2016-1-7,3481.15,3294.38,3481.15,3284.74,44102641,3643.666,3694.5915,184.3147753,153.1830934,11.38451444,25.31213557,-0.275468877,1.228465588,-3.173405156,-0.899503523,3395.982678,3694.5915,3993.200322,-0.170126719,2,0.020392304,-0.06933423,0.017543507,0.002411819
2016-1-8,3371.87,3361.56,3418.85,3237.93,185959451,3596.882,3681.5155,191.1795775,169.8625748,21.25427949,29.47416275,-1.066872606,0.993931106,-4.382855376,-2.053824069,3350.392383,3681.5155,4012.638617,0.016863239,-2,-0.050307,0.020392304,-0.06933423,0.017543507
