,0,1
130,19990211,537820
131,19990218,534516
132,19990225,541717
133,19990304,534826
134,19990311,541630
135,19990318,535135
136,19990325,545923
137,19990401,543952
138,19990408,540303
139,19990415,540165
140,19990422,541845
141,19990429,545736
142,19990506,550456
143,19990513,542511
144,19990520,547118
145,19990527,545704
146,19990603,551395
147,19990610,547754
148,19990617,547418
149,19990624,545850
150,19990701,559964
151,19990708,555287
152,19990715,558691
153,19990722,548551
154,19990729,554488
155,19990805,553830
156,19990812,561808
157,19990819,552725
158,19990826,559163
159,19990902,563283
160,19990909,571073
161,19990916,566238
162,19990923,570827
163,19990930,567937
164,19991007,566961
165,19991014,574084
166,19991021,576132
167,19991028,572664
168,19991104,580970
169,19991118,590629
170,19991202,602666
171,19991209,602917
172,19991216,617645
173,19991223,602666
174,19991230,668906
175,20000106,639857
176,20000113,610672
177,20000120,598020
178,20000127,595140
179,20000203,580733
180,20000210,588414
181,20000217,582423
182,20000224,588665
183,20000302,584429
184,20000309,584571
185,20000316,585908
186,20000323,584031
187,20000330,584429
188,20000406,584603
189,20000413,584389
190,20000420,593152
191,20000427,608139
192,20000504,599488
193,20000511,583072
194,20000518,579766
195,20000525,578592
196,20000601,594896
197,20000608,582449
198,20000615,584865
199,20000622,589788
200,20000629,589559
201,20000706,585587
202,20000713,586438
203,20000720,581108
204,20000727,584640
205,20000803,580942
206,20000810,588054
207,20000817,580904
208,20000824,586153
209,20000831,582759
210,20000907,591178
211,20000914,583375
212,20000921,589323
213,20000928,583123
214,20001005,585155
215,20001012,590093
216,20001019,589355
217,20001026,582454
218,20001102,595727
219,20001109,588367
220,20001116,594669
221,20001130,597282
222,20001207,594665
223,20001214,604654
224,20001221,602210
225,20001228,619724
226,20010104,607871
227,20010111,602190
228,20010118,605734
229,20010125,611706
230,20010201,596072
231,20010208,602308
232,20010215,597719
233,20010222,613259
234,20010301,601086
235,20010308,602465
236,20010315,598464
237,20010322,620417
238,20010329,598010
239,20010405,604772
240,20010412,604484
241,20010419,614587
242,20010426,603250
243,20010503,616847
244,20010510,602375
245,20010517,616875
246,20010524,606256
247,20010531,632094
248,20010607,607435
249,20010614,611307
250,20010621,607986
251,20010628,613887
252,20010705,617559
253,20010712,619761
254,20010719,614436
255,20010726,630973
256,20010802,623706
257,20010809,625984
258,20010816,624174
259,20010823,632216
260,20010830,625160
261,20010906,637387
262,20010913,730013
263,20010920,633190
264,20010927,638318
265,20011004,632467
266,20011011,641946
267,20011018,641612
268,20011025,634694
269,20011101,649682
270,20011108,635490
271,20011115,653268
272,20011129,648787
273,20011206,642105
274,20011213,656989
275,20011220,653807
276,20011227,662945
277,20020103,663141
278,20020110,657000
279,20020117,651285
280,20020124,683894
281,20020131,657669
282,20020207,655374
283,20020214,650167
284,20020221,666485
285,20020228,658103
286,20020307,664480
287,20020314,655281
288,20020321,662718
289,20020328,659092
290,20020404,666551
291,20020411,660562
292,20020418,667529
293,20020425,663457
294,20020502,677066
295,20020509,664674
296,20020516,670639
297,20020523,665456
298,20020530,697225
299,20020606,671424
300,20020613,683476
301,20020620,672387
302,20020627,687160
303,20020711,683124
304,20020718,675508
305,20020725,688852
306,20020801,680546
307,20020808,689374
308,20020815,678382
309,20020822,686888
310,20020829,679263
311,20020905,694029
312,20020912,681940
313,20020919,683040
314,20020926,681578
315,20021003,685014
316,20021010,677203
317,20021017,693335
318,20021024,679040
319,20021031,692547
320,20021107,682097
321,20021114,700227
322,20021121,684788
323,20021205,689645
324,20021212,702625
325,20021226,733107
326,20030102,732048
327,20030109,724796
328,20030116,721098
329,20030123,736969
330,20030130,713818
331,20030206,720659
332,20030213,714292
333,20030220,731420
334,20030227,722984
335,20030306,723648
336,20030313,718001
337,20030320,730894
338,20030327,725971
339,20030403,733407
340,20030410,728780
341,20030417,746781
342,20030424,733157
343,20030501,747239
344,20030508,734407
345,20030515,741309
346,20030522,735628
347,20030529,745817
348,20030605,732594
349,20030612,744164
350,20030619,736850
351,20030626,744931
352,20030703,741035
353,20030710,745332
354,20030717,738658
355,20030724,746550
356,20030731,741172
357,20030807,734891
358,20030814,736255
359,20030821,751724
360,20030828,741534
361,20030904,751360
362,20030911,738134
363,20030918,744835
364,20030925,742084
365,20031002,754045
366,20031009,737996
