"授权公告号","申请号","法律状态公告日","法律状态","法律状态信息"
"","200410092331.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410101023.8","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200410101080.6","2016.12.28","专利权的保全及其解除","专利权的保全"
"","200410103776.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200410155430.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200480000058.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480000058.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480000454.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480002027.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480003576.8","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480009871.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480013480.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480013480.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480013480.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480015893.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480016516.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480017613.0","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200480018265.9","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200480020213.5","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480020400.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480020400.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480020716.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480020716.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480020716.2","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200480020769.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480029854.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480029854.7","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200480029945.0","2016.12.28","专利权的无效宣告","专利权全部无效"
"","200480032361.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200480032623.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200480033029.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200480033483.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200480034054.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200480035476.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480039691.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200480041100.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200480044342.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510004595.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510010510.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510019107.1","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","200510022945.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510022945.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510022945.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510026360.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510030980.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510035503.3","2016.12.28","专利权的无效宣告","专利权全部无效"
"","200510035681.6","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","200510035682.0","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的注销"
"","200510037004.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510037820.9","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510037820.9","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510037820.9","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510037956.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510037956.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510037956.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510038112.7","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510038112.7","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510038112.7","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510041610.7","2016.12.28","专利权质押合同登记的生效、变更及注销","专利权质押合同登记的生效"
"","200510048498.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510048895.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510056876.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510057036.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510057327.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510058804.8","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510058804.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510058804.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510058804.8","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510060077.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510066808.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510066808.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510066836.2","2016.12.28","专利权的终止","专利权有效期届满"
"","200510069732.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510081650.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510081650.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510081650.4","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510081982.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510086006.6","2016.12.28","专利实施许可合同备案的生效、变更及注销","专利实施许可合同备案的生效"
"","200510086767.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510089475.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510089844.9","2016.12.28","专利权的无效宣告","专利权全部无效"
"","200510091162.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510092742.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510092754.5","2016.12.28","专利权的终止","专利权有效期届满"
"","200510093290.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510094505.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510094505.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510094505.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510095043.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510095054.1","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510095330.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510095558.3","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510097620.2","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510101075.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510101249.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510109778.7","2016.12.28","专利权的终止","专利权有效期届满"
"","200510110118.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510111837.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510114471.6","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510114472.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510115514.2","2016.12.28","发明专利申请公布后的驳回","发明专利申请公布后的驳回"
"","200510115564.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510115667.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510115684.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510117384.6","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510117472.6","2016.12.28","专利权的无效宣告","专利权全部无效"
"","200510117599.8","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510117645.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510117656.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510117671.7","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510117681.0","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510117726.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510117731.5","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510119364.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510119833.0","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510120004.4","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510120008.2","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510120317.X","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510120352.1","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200510124256.4","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510125973.9","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510127718.8","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510131620.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510131620.X","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200510131620.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510136322.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510136322.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510136322.X","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200510200670.9","2016.12.28","专利权的终止","未缴年费专利权终止"
"","200580001978.9","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200580005277.2","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200580006649.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200580006649.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200580006649.3","2016.12.28","专利权人的姓名或者名称、地址的变更","专利权人的姓名或者名称、地址的变更"
"","200580007853.7","2016.12.28","专利申请权、专利权的转移","专利权的转移"
"","200580012753.3","2016.12.28","专利申请权、专利权的转移","专利权的转移"
