date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,token
2017-02-07,3371.77,3376.71,3365.68,3354.63,637544.62,-7.53,-0.22,3373.448,3361.932,3352.155,622316.53,654993.49,786045.26,0
2017-02-06,3368.11,3381.33,3373.21,3358.75,685213.62,8.72,0.26,3373.202,3358.0,3350.982,627196.06,660692.35,797451.97,0
2017-02-03,3390.93,3392.48,3364.49,3362.57,551888.62,-23.47,-0.69,3371.376,3352.624,3347.826,641268.34,749950.12,799063.35,0
2017-01-26,3378.26,3395.88,3387.96,3378.26,653166.5,12.06,0.36,3369.456,3348.166,3344.49,661491.54,778941.85,806512.88,0
2017-01-25,3361.66,3376.44,3375.9,3357.22,583769.31,11.45,0.34,3357.722,3341.132,3340.186,663177.85,794864.34,808354.78,0
2017-01-24,3363.14,3371.32,3364.45,3355.9,661942.25,0.37,0.01,3350.416,3336.992,3337.211,687670.44,827558.85,816909.49,0
2017-01-23,3359.05,3378.74,3364.08,3355.85,755575.0,9.19,0.27,3342.798,3336.374,3335.108,694188.64,845183.78,828709.37,0
2017-01-20,3326.98,3358.41,3354.89,3326.37,653004.62,25.6,0.77,3333.872,3336.356,3332.284,858631.91,853334.23,839652.97,0
2017-01-19,3330.95,3346.5,3329.29,3324.68,661598.06,-10.08,-0.3,3326.876,3335.634,3331.323,896392.16,875492.88,853141.37,0
2017-01-18,3323.34,3350.96,3339.37,3320.41,706232.25,13.01,0.39,3324.542,3339.484,3331.786,926550.83,897669.43,874188.96,0
2017-01-17,3305.6,3327.38,3326.36,3292.2,694533.25,6.91,0.21,3323.568,3342.378,3330.27,967447.25,917097.03,882662.15,0
2017-01-16,3314.15,3322.78,3319.45,3264.21,1577791.38,-0.46,-0.01,3329.95,3343.965,3330.401,996178.93,934211.6,888755.82,0
2017-01-13,3317.96,3338.17,3319.91,3309.37,841805.88,2.29,0.07,3338.84,3343.028,3331.73,848036.54,848176.58,855253.97,0
2017-01-12,3332.69,3343.13,3317.62,3315.96,812391.38,-16.88,-0.51,3344.392,3340.813,3332.756,854593.59,834083.91,870644.0,0
2017-01-11,3355.8,3366.63,3334.5,3334.3,910714.38,-23.77,-0.71,3354.426,3339.24,3335.822,868788.02,821845.21,892028.31,0
2017-01-10,3361.64,3370.51,3358.27,3354.09,838191.62,-5.63,-0.17,3361.188,3337.429,3339.349,866746.8,806260.13,907045.14,0
2017-01-09,3345.75,3366.22,3363.9,3344.35,837079.44,16.23,0.48,3357.98,3333.842,3341.895,872244.26,812234.95,958869.43,0
2017-01-06,3366.85,3368.87,3347.67,3346.89,874591.12,-20.12,-0.6,3347.216,3328.212,3348.385,848316.61,825971.72,992167.12,0
2017-01-05,3368.34,3373.41,3367.79,3361.46,883363.56,-0.52,-0.01,3337.234,3327.012,3354.509,813574.24,830789.86,1007129.52,0
2017-01-04,3340.56,3369.57,3368.31,3338.15,900508.25,26.08,0.78,3324.054,3324.087,3359.907,774902.4,850708.5,1020133.9,0
2017-01-03,3313.95,3345.26,3342.23,3313.95,865678.94,32.15,0.97,3313.67,3318.162,3364.448,745773.46,848227.27,1032873.03,0
2016-12-30,3302.6,3313.55,3310.08,3295.75,717441.19,12.32,0.37,3309.704,3316.837,3370.808,752225.64,843300.05,1080015.26,0
2016-12-29,3297.04,3312.11,3297.76,3288.1,700879.25,-4.13,-0.12,3309.208,3320.432,3381.751,803626.82,862331.36,1142320.93,0
2016-12-28,3315.75,3320.55,3301.89,3293.17,690004.38,-14.5,-0.44,3316.79,3324.699,3395.115,848005.47,907204.09,1197362.35,0
2016-12-27,3319.21,3330.23,3316.39,3315.83,754863.56,-6.01,-0.18,3324.12,3332.405,3406.921,926514.6,962211.41,1252142.22,0
2016-12-26,3293.22,3322.42,3322.4,3267.05,897939.81,14.8,0.45,3322.654,3341.27,3419.303,950681.07,1007830.15,1332858.22,0
2016-12-23,3333.4,3334.89,3307.6,3300.88,974447.12,-28.07,-0.84,3323.97,3349.948,3429.937,934374.46,1105503.92,1391648.97,0
2016-12-22,3335.12,3340.36,3335.67,3322.72,922772.5,-2.87,-0.09,3331.656,3368.558,3440.622,921035.89,1158362.52,1419737.37,0
2016-12-21,3313.75,3342.48,3338.54,3313.75,1082550.0,29.48,0.89,3332.608,3382.005,3448.276,966402.71,1183469.19,1446471.89,0
2016-12-20,3328.3,3329.1,3309.06,3289.27,875695.94,-19.92,-0.6,3340.69,3395.726,3455.085,997908.21,1189559.29,1473538.64,0
2016-12-19,3342.34,3344.86,3328.98,3325.0,816406.75,-17.05,-0.51,3359.886,3410.735,3463.05,1064979.22,1217518.79,1514015.57,0
2016-12-16,3335.36,3356.29,3346.03,3330.49,907754.25,5.6,0.17,3375.926,3424.778,3468.657,1276633.37,1316730.46,1546412.49,0
2016-12-15,3363.86,3378.04,3340.43,3327.14,1149606.62,-38.52,-1.14,3405.46,3443.07,3472.228,1395689.15,1422310.51,1559000.38,0
