授权公告号,申请号,法律状态公告日1,法律状态1,法律状态信息1,法律状态公告日2,法律状态2,法律状态信息2,法律状态公告日3,法律状态3,法律状态信息3,法律状态公告日4,法律状态4,法律状态信息4
,2807236.7,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,2808454.3,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2809578.2,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,2809830.7,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2810926,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2812329.8,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2816791,2016.12.28,发明专利公报更正,发明专利公报更正,2016.12.28,发明专利更正,发明专利更正
,02818291.X,2016.12.28,专利实施许可合同备案的生效、变更及注销,专利实施许可合同备案的生效
,2818442.4,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2820935.4,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,2822249,2016.12.28,专利权的终止,未缴年费专利权终止
,2822276.8,2016.12.28,专利权的终止,未缴年费专利权终止
,2822313.6,2016.12.28,专利权的终止,未缴年费专利权终止
,2822482.5,2016.12.28,专利权的终止,未缴年费专利权终止
,2822546.5,2016.12.28,专利权的终止,未缴年费专利权终止
,2823096.5,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2823455.3,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2823467.7,2016.12.28,专利权的终止,未缴年费专利权终止
,2826826.1,2016.12.28,专利权的终止,未缴年费专利权终止
,2829823.3,2016.12.28,专利权的终止,未缴年费专利权终止
,2829837.3,2016.12.28,专利权的终止,未缴年费专利权终止
,3101928.5,2016.12.28,专利申请权、专利权的转移,专利权的转移
,03103571.X,2016.12.28,专利权的终止,专利权有效期届满
,3106170.2,2016.12.28,专利权的终止,专利权有效期届满
,3114118.8,2016.12.28,专利权质押合同登记的生效、变更及注销,专利权质押合同登记的注销
,3117612.7,2016.12.28,文件的公告送达,文件的公告送达
,3119619.5,2016.12.28,专利权的无效宣告,专利权全部无效
,3119840.6,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,03121679.X,2016.12.28,专利申请权、专利权的转移,专利权的转移
,3132953.5,2016.12.28,文件的公告送达,文件的公告送达
,3136569.8,2016.12.28,专利权的无效宣告,专利权全部无效
,3142764.2,2016.12.28,专利申请权、专利权的转移,专利权的转移
,3143851.2,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,3156927.7,2016.12.28,专利权的终止,专利权有效期届满
,03159011.X,2016.12.28,专利申请权、专利权的转移,专利权的转移
,3809069.4,2016.12.28,专利实施许可合同备案的生效、变更及注销,专利实施许可合同备案的生效
,03812873.X,2016.12.28,专利申请权、专利权的转移,专利权的转移
,3813110.2,2016.12.28,专利申请权、专利权的转移,专利权的转移
,3815667.9,2016.12.28,专利申请权、专利权的转移,专利权的转移
,3817716.1,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,3822360,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2.0031E+11,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利申请权、专利权的转移,专利权的转移
,200310104790.X,2016.12.28,专利权的终止,未缴年费专利权终止
,2.0031E+11,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,专利权有效期届满
,200310117621.X,2016.12.28,发明专利公报更正,发明专利公报更正
,2.0031E+11,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2.0038E+11,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,200380101429.X,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2.0038E+11,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,200380108696.X,2016.12.28,专利申请权、专利权的转移,专利权的转移
,2.0038E+11,2016.12.28,专利权的终止,未缴年费专利权终止
