open,high,close,low,volume,Adj Close
2017-11-02,3994.09,3999.23,3997.13,3971.38,1261005.75,3997.13
2017-11-01,4007.91,4032.46,3996.62,3991.32,1304173.75,3996.62
2017-10-31,3995.39,4009.28,4006.72,3983.26,1091787.75,4006.72
2017-10-30,4022.16,4033.34,4009.72,3960.27,1573876.0,4009.72
2017-10-27,3992.55,4024.46,4021.97,3991.35,1266728.5,4021.97
2017-10-26,3980.05,4013.6,3993.58,3973.55,1298954.62,3993.58
2017-10-25,3958.17,3978.09,3976.95,3954.0,882054.56,3976.95
2017-10-24,3926.23,3959.5,3959.4,3922.03,930581.56,3959.4
2017-10-23,3930.89,3936.27,3930.8,3920.66,814849.81,3930.8
2017-10-20,3918.53,3928.96,3926.85,3910.2,729801.81,3926.85
2017-10-19,3940.58,3944.03,3931.25,3923.65,1065272.5,3931.25
2017-10-18,3914.82,3944.41,3944.16,3914.82,1009698.44,3944.16
2017-10-17,3910.79,3924.61,3913.07,3900.48,822412.25,3913.07
2017-10-16,3926.28,3947.42,3913.45,3913.32,1213550.38,3913.45
2017-10-13,3912.98,3927.17,3921.0,3908.89,901420.69,3921.0
2017-10-12,3902.02,3917.44,3912.95,3897.55,943409.19,3912.95
2017-10-11,3886.82,3913.07,3902.69,3885.5,1044181.5,3902.69
2017-10-10,3883.0,3900.74,3889.86,3855.47,1125325.88,3889.86
2017-10-09,3910.11,3918.84,3882.21,3876.03,1355358.5,3882.21
2017-09-29,3825.2,3852.22,3836.5,3825.2,933060.25,3836.5
2017-09-28,3821.59,3827.33,3822.54,3813.75,935440.69,3822.54
2017-09-27,3818.96,3832.57,3821.2,3818.81,856558.12,3821.2
2017-09-26,3810.33,3821.69,3820.78,3808.38,818694.06,3820.78
2017-09-25,3829.22,3835.39,3817.79,3811.12,1039489.75,3817.79
2017-09-22,3826.46,3842.25,3837.73,3816.82,1006198.0,3837.73
2017-09-21,3843.26,3860.8,3837.82,3837.38,1110981.88,3837.82
2017-09-20,3830.15,3850.94,3842.44,3827.89,1011295.44,3842.44
2017-09-19,3849.88,3857.3,3832.12,3820.29,1124329.88,3832.12
2017-09-18,3832.96,3862.36,3843.14,3832.96,1179344.0,3843.14
2017-09-15,3826.14,3843.3,3831.3,3818.52,1224270.0,3831.3
2017-09-14,3843.57,3854.49,3829.96,3820.09,1153585.88,3829.96
2017-09-13,3835.55,3847.78,3842.61,3822.94,954107.88,3842.61
2017-09-12,3832.24,3849.39,3837.93,3822.0,1441902.38,3837.93
2017-09-11,3828.34,3850.74,3825.65,3817.51,1238840.0,3825.65
2017-09-08,3830.07,3843.02,3825.99,3813.98,1060365.0,3825.99
2017-09-07,3851.69,3858.16,3829.87,3828.84,1238841.75,3829.87
2017-09-06,3846.75,3858.25,3849.45,3831.38,1313987.25,3849.45
2017-09-05,3845.55,3865.29,3857.05,3841.95,1249641.5,3857.05
2017-09-04,3828.54,3847.09,3845.62,3813.55,1495663.25,3845.62
2017-09-01,3825.34,3843.62,3830.54,3818.16,1586455.12,3830.54
